 wxhf            , 220.243.137.204 ,8888, www.epochtimes.com                       ,0,3
 zskj            , 123.103.51.73   ,80, www.minghui.org                          ,0,2
 cc_ops          , 203.212.9.223   ,8080, boxun.com                                ,0,2
 rongde          , 220.243.137.67  ,8888, www.rfa.org                              ,0,1
 zskj            , 123.103.51.73   ,80, boxun.com                                ,0,2
 37wan           , 220.243.137.146 ,8080, baidu.com                                ,0,1
 zhgb            , 123.103.51.24   ,8888, www.minghui.org                          ,0,1
 cc_ops          , 203.212.9.223   ,8080, www.wujieliulan.com                      ,0,2
 rongde          , 220.243.137.64  ,8888, boxun.com                                ,0,1
 zskj            , 123.103.51.73   ,80, www.wujieliulan.com                      ,0,2
 zgjj            , 220.243.178.72  ,80, baidu.com                                ,0,1
 zhgb            , 123.103.51.24   ,8888, boxun.com                                ,0,1
 cc_ops          , 203.212.9.223   ,8080, www.123cha.com                           ,0,2
 ztwf            , 123.103.51.80   ,80, www.epochtimes.com                       ,0,2
 rongde          , 220.243.137.64  ,8888, 123.125.114.144                          ,0,2
 zskj            , 123.103.51.73   ,80, 123.125.114.144                          ,0,2
 wxhf            , 220.243.137.204 ,8888, 123.125.114.144                          ,0,1
 zhgb            , 123.103.51.24   ,8888, www.epochtimes.com                       ,0,1
 cc_ops          , 203.212.9.223   ,8080, 123.125.114.144                          ,0,2
 ztwf            , 123.103.51.80   ,80, www.minghui.org                          ,0,2
 hlcb            , 220.243.178.53  ,8080, www.wujieliulan.com                      ,0,1
 zskj            , 123.103.51.73   ,80, www.epochtimes.com                       ,0,2
 ywjx            , 220.243.178.190 ,8080, baidu.com                                ,0,1
 ztwf            , 123.103.51.80   ,80, www.123cha.com                           ,0,2
 hlcb            , 220.243.178.53  ,8080, boxun.com                                ,0,1
 rongde          , 220.243.137.64  ,8888, www.wujieliulan.com                      ,0,2
 juhaokan        , 220.243.178.70  ,80, baidu.com                                ,0,1
 visa_com_cn     , 123.103.51.89   ,80, www.wujieliulan.com                      ,0,1
 hlcb            , 220.243.178.53  ,8080, 123.125.114.144                          ,0,1
 juhaokan        , 220.243.133.94  ,80, www.wujieliulan.com                      ,0,2
 hlcb            , 220.243.178.51  ,80, boxun.com                                ,0,1
 hlcb            , 220.243.178.53  ,8080, www.minghui.org                          ,0,1
 juhaokan        , 220.243.133.94  ,80, boxun.com                                ,0,2
 hlcb            , 220.243.178.53  ,8080, www.123cha.com                           ,0,1
 juhaokan        , 220.243.133.94  ,80, www.123cha.com                           ,0,2
 juhaokan        , 220.243.133.94  ,80, 123.125.114.144                          ,0,2
 costversion     , 220.243.148.32  ,8081, baidu.com                                ,0,1
 PMIaaS          , 220.243.137.171 ,80, www.minghui.org                          ,0,1
 Cloud_ciptc     , 123.103.123.36  ,80, www.epochtimes.com                       ,0,1
 shengmu         , 220.243.133.72  ,80, www.epochtimes.com                       ,0,1
 PMIaaS          , 220.243.137.171 ,80, boxun.com                                ,0,1
 Cloud_ciptc     , 123.103.123.36  ,80, www.123cha.com                           ,0,1
 Cloud_ciptc     , 123.103.123.37  ,80, boxun.com                                ,0,2
 rongde          , 220.243.137.67  ,8888, www.wujieliulan.com                      ,0,1
 Cloud_ciptc     , 123.103.123.37  ,80, www.wujieliulan.com                      ,0,2
 rongde          , 220.243.137.67  ,8888, boxun.com                                ,0,1
 wxhf            , 220.243.137.204 ,8888, boxun.com                                ,0,2
 jsywlkj         , 220.243.137.44  ,81, 123.125.114.144                          ,0,1
 Cloud_ciptc     , 123.103.123.37  ,80, www.123cha.com                           ,0,2
 fordcar         , 123.103.123.21  ,80, www.minghui.org                          ,0,1
 rongde          , 220.243.137.67  ,8888, 123.125.114.144                          ,0,1
 ztwf            , 123.103.51.80   ,80, www.wujieliulan.com                      ,0,2
 wxhf            , 220.243.137.204 ,8888, www.wujieliulan.com                      ,0,2
 Cloud_ciptc     , 123.103.123.37  ,80, www.epochtimes.com                       ,0,2
 rongde          , 220.243.137.67  ,8888, www.minghui.org                          ,0,1
 wxhf            , 220.243.137.204 ,8888, www.123cha.com                           ,0,1
 cc_ops          , 203.212.9.223   ,8080, www.minghui.org                          ,0,2
 rongde          , 220.243.137.67  ,8888, www.123cha.com                           ,0,1
 Cloud_Aspire    , 220.243.178.198 ,80, a.i139.cn                                ,1,0
 ztxxkj          , 123.103.51.72   ,80, admin.chinaqking.cn                      ,1,0
